20s	na fichidí
30s	na tríochaidí
40s	na daichidí
50s	na caogaidí
60s	na seascaidí
70s	na seachtóidí
80s	na hochtóidí
90s	na nóchaidí
20idí	na fichidí
30idí	na tríochaidí
40idí	na daichidí
50idí	na caogaidí
60idí	na seascaidí
70idí	na seachtóidí
80idí	na hochtóidí
90idí	na nóchaidí
