	cúlslais
_	fostríoc
*	réiltín
#	hais
@	ag
.	ponc
~	tilde
%	faoin gcéad
<	níos lú ná
>	níos mó ná
≤	níos lú ná nó cothrom le
≥	níos mó ná nó cothrom le
=	cothrom le
&	amparsan
⁊	agus
┐	agus
+	móide
÷	roinnte ar
¢	cent", 	:"idirstad
/	slais
,	camóg
°	céim
?	comhartha ceiste
!	comhartha uaillbhreasa
½	leath
¼	ceathrú
¾	trí cheathrú
©	cóipcheart
²	cearnaithe
³	ciúbach
×	iolraithe faoi
·	ponc
√	fréamh cearnach
-	fleiscín
(	lúibín oscailte
)	lúibín dúnta
[	lúibín cearnach oscailte
]	lúibín cearnach dúnta 
;	 leathstad", '"':"comhartha athfhriotail
1	a haon
2	a dó
3	a trí
4	a ceathair
5	a cúig
6	a sé
7	a seacht
8	a hocht
9	a naoi
0	a náid
