00	
01	nóiméad
02	dhá nóiméad
03	trí nóiméad
04	ceithre nóiméad
05	cúig nóiméad
06	sé nóiméad
07	seacht nóiméad
08	ocht nóiméad
09	naoi nóiméad
1	nóiméad
10	deich nóiméad
11	aon nóiméad déag
12	dhá nóiméad déag
13	trí nóiméad déag
14	ceithre nóiméad déag
15	ceathrú
16	sé nóiméad déag
17	seacht nóiméad déag
18	ocht nóiméad déag
19	naoi nóiméad déag
2	dhá nóiméad
20	fiche nóiméad
21	nóiméad is fiche
22	dhá nóiméad is fiche
23	trí nóiméad is fiche
24	ceithre nóiméad is fiche
25	cúig nóiméad is fiche
26	sé nóiméad is fiche
27	seacht nóiméad is fiche
28	ocht nóiméad is fiche
29	naoi nóiméad is fiche
30	leathuair
31	naoi nóiméad is fiche
32	ocht nóiméad is fiche
33	seacht nóiméad is fiche
34	sé nóiméad is fiche
35	cúig nóiméad is fiche
36	ceithre nóiméad is fiche
37	trí nóiméad is fiche
38	dhá nóiméad is fiche
39	nóiméad is fiche
40	fiche nóiméad
41	naoi nóiméad déag
42	ocht nóiméad déag
43	seacht nóiméad déag
44	sé nóiméad déag
45	ceathrú
46	ceithre nóiméad déag
47	trí nóiméad déag
48	dhá nóiméad déag
49	aon nóiméad déag
50	deich nóiméad
51	naoi nóiméad
52	ocht nóiméad
53	seacht nóiméad
54	sé nóiméad
55	cúig nóiméad
56	ceithre nóiméad
57	trí nóiméad
58	dhá nóiméad
59	nóiméad
